Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,sum_SRR8175837_1,sum_SRR8175836_1,sum_SRR8175839_1,sum_SRR8175838_1,sum_SRR8175841_1,sum_SRR8175840_1,sum_SRR8175843_1,sum_SRR8175842_1,sum_SRR8175845_1,sum_SRR8175844_1,sum_SRR8175881_1,sum_SRR8175880_1,sum_SRR8175879_1,sum_SRR8175878_1,sum_SRR8175885_1,sum_SRR8175884_1,sum_SRR8175883_1,sum_SRR8175882_1,sum_SRR8175873_1,sum_SRR8175872_1,sum_SRR8175848_1,sum_SRR8175849_1,sum_SRR8175846_1,sum_SRR8175847_1,sum_SRR8175852_1,sum_SRR8175853_1,sum_SRR8175850_1,sum_SRR8175851_1,sum_SRR8175854_1,sum_SRR8175855_1,sum_SRR8175871_1,sum_SRR8175870_1,sum_SRR8175897_1,sum_SRR8175896_1,sum_SRR8175875_1,sum_SRR8175874_1,sum_SRR8175877_1,sum_SRR8175876_1,sum_SRR8175886_1,sum_SRR8175868_1,sum_SRR8175858_1,sum_SRR8175859_1,sum_SRR8175860_1,sum_SRR8175861_1,sum_SRR8175862_1,sum_SRR8175863_1,sum_SRR8175864_1,sum_SRR8175865_1,sum_SRR8175866_1,sum_SRR8175867_1,sum_SRR8175893_1,sum_SRR8175892_1,sum_SRR8175891_1,sum_SRR8175890_1,sum_SRR8175889_1,sum_SRR8175888_1,sum_SRR8175887_1,sum_SRR8175869_1,sum_SRR8175895_1,sum_SRR8175894_1,sum_SRR8175856_1,sum_SRR8175857_1,sum_F1_MV385A_S6_L001_R1_001,sum_C2_MV386C_s_S11_L001_R1_001,sum_H2_MV387C_s_S16_L001_R1_001,sum_B4_MV388C_s_S26_L001_R1_001,sum_G4_MV389C_s_S31_L001_R1_001,sum_D5_MV390C_s_S36_L001_R1_001,sum_A6_MV391C_s_S41_L001_R1_001,sum_F6_MV392C_s_S46_L001_R1_001,sum_B7_MV393C_s_S50_L001_R1_001,sum_F7_MV394B_s_S54_L001_R1_001,sum_G1_MV395C_s_S7_L001_R1_001,sum_F3_MV396B_S22_L001_R1_001,sum_H4_MV397B_S32_L001_R1_001,sum_E5_MV398C_s_S37_L001_R1_001,sum_B6_MV399C_s_S42_L001_R1_001,sum_G6_MV400C_s_S47_L001_R1_001,sum_C7_MV401A_S51_L001_R1_001,sum_G7_MV402A_S55_L001_R1_001,sum_C1_MV403A_S3_L001_R1_001,sum_H1_MV404A_S8_L001_R1_001,sum_E2_MV405A_S13_L001_R1_001,sum_B3_MV406A_S18_L001_R1_001,sum_G3_MV407A_S23_L001_R1_001,sum_D4_MV408A_S28_L001_R1_001,sum_A5_MV410A_S33_L001_R1_001,sum_F5_MV411A_S38_L001_R1_001,sum_C6_MV412A_S43_L001_R1_001,sum_H6_MV413A_S48_L001_R1_001,sum_D7_MV414A_S52_L001_R1_001,sum_H7_MV415A_S56_L001_R1_001,sum_D1_MV416A_S4_L001_R1_001,sum_A2_MV417A_S9_L001_R1_001,sum_TH01_S1_L001_R1_001,sum_TH02_S2_L001_R1_001,sum_TH03_S3_L001_R1_001,sum_TH04_S4_L001_R1_001,sum_TH05_S5_L001_R1_001,sum_TH06_S6_L001_R1_001,sum_TH07_S7_L001_R1_001,sum_TH09_S9_L001_R1_001,sum_TH10_S10_L001_R1_001,sum_TH11_S11_L001_R1_001,sum_TH12_S12_L001_R1_001,sum_TH13_S13_L001_R1_001,sum_TH14_S14_L001_R1_001,sum_TH15_S15_L001_R1_001,sum_TH16_S16_L001_R1_001,sum_F2_MV435A_S14_L001_R1_001,sum_C3_MV436A_S19_L001_R1_001,sum_H3_MV438A_S24_L001_R1_001,sum_E4_MV439A_S29_L001_R1_001,sum_B5_MV440A_S34_L001_R1_001,sum_G5_MV441A_S39_L001_R1_001,sum_A7_MV442A_S49_L001_R1_001,sum_E7_MV443A_S53_L001_R1_001,sum_E1_MV444A_S5_L001_R1_001,sum_B2_MV445A_S10_L001_R1_001,sum_G2_MV447A_S15_L001_R1_001,sum_A4_MV448A_S25_L001_R1_001,sum_F4_MV449A_S30_L001_R1_001,sum_C5_MV450A_S35_L001_R1_001,sum_H5_MV451A_S40_L001_R1_001,sum_E6_MV452A_S45_L001_R1_001,sum_small_phytoplankton,sum_is_chlorophyta
Eukaryota,Stramenopiles,Ochrophyta,Ochrophyta_X,Ochrophyta_XX,Ochrophyta_XXX,Pseudosolenia,Pseudosolenia_calcar-avis,0,0,0,325,713,28,1073,1172,179,369,98,1033,199,0,58,283,0,0,0,0,0,0,19,144,239,493,521,53,152,366,0,0,8,22,12,22,0,6,2,0,0,11,0,0,0,16,0,4,0,38,27,28,92,146,39,0,0,0,0,0,5,274,0,0,0,357,1494,5916,2388,176,6,0,202,1108,45,0,0,0,0,0,86,2236,0,186,0,205,0,10,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,5,0,3,0,0,77,13,0,0,611,0,1162,30,0,0,0,0,0,0,4,1,0
Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-H,Chrysophyceae_Clade-H_X,Chrysophyceae_Clade-H_X_sp.,1794,559,82,113,183,153,119,33,197,94,324,63,2,15,310,245,20,679,628,209,157,166,427,9,0,107,98,0,0,37,0,105,2,198,8,167,241,232,103,0,70,126,0,42,0,9,0,0,46,26,0,13,0,3,35,2,433,639,3,10,4,4,0,8,428,38,0,0,1354,578,275,0,528,18,48,0,0,890,0,42,0,453,40,270,3,113,318,725,350,0,279,1316,180,0,106,17,73,57,413,143,109,40,81,146,168,143,294,29,290,0,74,943,8,0,62,0,352,16,0,0,10,0,279,474,119,1,0
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,Skeletonema_menzellii,0,0,88,127,15,0,0,0,0,0,428,582,374,63,42,0,0,0,0,0,0,0,12,290,41,1203,805,91,783,209,195,701,25,29,0,0,0,0,0,0,0,0,0,0,36,35,83,42,69,105,0,5,0,0,0,0,0,0,0,0,122,420,1498,121,0,9,0,0,0,0,0,0,0,0,15,50,0,335,2251,432,1141,38,0,0,0,0,0,0,0,0,0,0,0,0,62,25,389,227,43,0,0,0,0,0,34,136,197,701,2877,0,89,0,0,0,0,706,342,1415,0,62,779,255,158,46,0,1,0
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,Skeletonema_marinoi,31,10,802,43,87,123,36,5,0,36,707,291,22,32,74,30,0,11,0,0,19,80,1656,116,46,385,501,0,0,0,0,69,7,40,0,154,43,4,0,10,0,74,23,0,0,10,0,0,239,496,97,3,86,5,0,6,0,0,0,7,0,30,0,0,17,504,0,1051,0,44,83,0,129,0,347,285,0,0,0,117,0,1348,11,680,0,339,0,0,0,0,78,10,44,9,30,5,255,221,985,47,7,0,4,57,57,11,19,4,31,0,0,0,0,0,650,0,0,0,0,0,0,1760,4677,573,0,1,0
Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pseudoscourfieldiales,Pycnococcaceae,Pycnococcaceae_X,Pycnococcaceae_X_sp.,84,115,181,439,130,28,22,0,0,598,267,98,28,52,119,9,13,2,3,3,22,788,585,317,154,358,406,58,43,44,77,452,22,171,51,14,0,0,6,0,48,166,175,145,420,125,338,8,29,21,21,22,73,28,0,10,56,31,91,466,94,43,520,0,0,0,33,0,0,0,0,868,250,1641,1673,803,0,108,0,682,68,13,135,268,280,29,6,70,10,0,73,0,0,28,33,6,38,5,8,0,0,11,4,85,164,25,8,8,54,0,230,0,83,0,279,2358,190,477,19,0,40,328,66,217,313,1,1
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mamiella,Mamiella_gilva,613,341,93,0,43,19,69,64,364,144,184,0,0,0,0,277,66,1631,1032,0,650,393,109,99,52,112,209,0,0,0,0,0,0,18,0,53,63,94,115,40,50,46,0,13,0,14,0,0,887,173,54,67,35,26,1094,16,13,13,0,19,102,16,0,0,0,49,0,0,0,102,0,490,358,132,13,0,0,33,247,91,0,0,0,377,1998,609,219,1016,1931,0,6,6,40,29,11,0,42,59,209,160,103,44,11,129,78,27,0,20,31,0,143,0,0,0,804,0,0,0,0,511,281,137,97,70,0,1,1
Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_globosa,714,0,60,439,1392,792,125,0,0,0,0,83,12,303,2214,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,2363,69,168,52,107,35,0,0,0,0,0,0,0,0,0,1093,287,3,55,388,48,290,0,0,10,0,0,0,0,0,0,153,986,0,0,0,0,0,0,0,0,0,0,0,0,392,37,103,594,47,470,733,1342,0,33,12,0,0,0,0,0,0,0,13,7,0,7,0,0,0,0,0,0,0,0,7,0,1302,0,0,0,0,0,7,0,0,0,29,118,221,370,0,1,0
Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Dictyochales,Dictyocha,Dictyocha_speculum,234,85,0,26,481,30,176,489,17,196,55,0,0,64,61,163,82,558,818,450,945,656,51,105,44,17,18,0,0,0,0,0,0,39,0,78,50,92,172,100,900,168,3,191,0,0,0,0,0,0,0,0,84,0,542,31,347,285,36,228,2,15,0,0,0,0,0,5,1917,4,11,44,682,75,243,0,0,0,0,0,0,0,0,0,0,3,9,422,288,0,14,102,163,88,5,13,23,2464,531,114,75,80,99,792,28,0,8,0,0,0,0,0,0,0,2228,0,5,0,0,0,0,31,3,25,0,1,0
Eukaryota,Stramenopiles,Stramenopiles_X,Stramenopiles_X-Group-7,Stramenopiles_X-Group-7_X,Stramenopiles_X-Group-7_XX,Stramenopiles_X-Group-7_XXX,Stramenopiles_X-Group-7_XXX_sp.,0,0,72,90,269,71,0,0,0,0,531,651,664,53,36,25,0,0,0,0,0,0,21,248,327,989,896,14,66,208,9,0,0,241,12,0,0,0,0,0,0,0,0,0,0,35,0,0,50,155,55,14,46,35,0,0,0,0,0,0,0,584,68,57,25,57,0,0,374,0,0,0,0,0,20,0,0,4998,15,57,1842,431,149,307,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,57,290,0,0,602,158,0,0,0,0,0,204,2576,0,7,128,132,206,79,54,1,0
Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Pseudochattonella,Pseudochattonella_verruculosa,118,0,14,8,289,17,65,16,9,7,0,6,0,29,3,40,21,979,1180,77,17,49,0,23,0,15,21,0,0,0,0,0,3,0,0,2,48,9,0,8,5,9,0,14,0,0,0,0,2,32,3,0,0,0,2808,0,0,5,0,17,0,0,0,0,0,0,0,0,634,363,0,0,164,203,17,0,0,0,0,0,0,0,0,0,64,240,112,7255,3088,0,0,0,0,0,9,0,6,13,42,35,9,0,0,56,38,21,0,7,5,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,1,0
Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_australis,16,728,1220,198,13,30,0,14,10,372,377,331,24,329,112,16,5,36,15,5,161,556,568,92,120,197,412,0,5,17,0,222,7,192,3,0,0,0,10,5,41,34,0,37,0,6,0,19,0,0,6,14,41,0,11,0,15,7,41,46,174,117,0,0,181,124,0,0,0,0,4,0,20,0,862,0,0,17,166,0,54,489,11,545,0,33,0,85,177,0,0,177,67,292,83,16,334,10,45,7,0,7,0,950,1383,431,255,128,545,257,17,0,281,0,1561,2,47,4,0,34,40,255,866,160,0,1,1
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Dolichomastigales,Dolichomastigaceae,Dolichomastigaceae-B,Dolichomastigaceae-B_sp.,431,446,46,19,58,14,62,76,531,30,68,31,18,15,48,47,102,583,408,126,151,78,0,0,3,0,26,0,0,5,23,7,0,49,14,19,146,556,328,34,43,132,348,54,5,25,12,3,48,19,8,65,28,68,151,57,775,1285,13,0,9,0,25,0,0,0,0,23,2501,194,2,0,42,207,43,0,0,59,120,24,2,137,197,190,1384,317,33,204,515,0,26,16,0,7,0,0,25,10,13,27,93,0,0,3,0,31,118,0,0,0,217,0,85,0,2,0,4,175,0,30,0,2,20,38,200,1,1
Eukaryota,Archaeplastida,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadales_X,Cymbomonas,Cymbomonas_tetramitiformis,0,31,319,32,37,0,0,0,47,1406,337,59,18,0,0,0,0,0,0,0,77,936,308,165,43,55,66,0,0,0,0,0,0,0,0,10,0,0,0,0,15,208,12,57,0,19,0,0,0,7,17,5,14,0,104,96,448,116,142,60,5,34,0,0,0,0,0,5,0,42,5,0,2266,1790,1343,0,0,336,0,0,0,0,0,101,0,20,0,19,212,0,113,216,193,6,16,0,16,0,26,13,55,248,116,849,29,132,134,0,0,0,0,0,3,0,425,0,0,0,0,0,0,0,8,0,0,1,1
Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Haptolina,Haptolina_sp.,191,856,135,152,372,20,189,21,22,383,472,87,18,477,206,495,36,37,18,121,1110,932,236,525,134,282,235,28,0,0,0,18,0,153,9,52,75,0,22,0,127,275,20,485,0,29,0,0,44,150,30,0,0,7,106,15,19,50,85,192,19,26,0,0,15,382,0,276,0,10,0,0,656,84,97,0,0,33,0,30,17,34,10,0,0,36,0,74,153,0,41,85,51,98,0,0,0,0,0,12,0,0,0,15,0,23,0,0,0,0,9,0,0,0,1126,0,167,63,0,0,0,10,189,17,0,1,0
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_acuta,68,138,141,101,0,182,23,0,0,21,163,99,70,466,831,308,27,236,60,0,0,32,197,0,0,36,80,0,0,0,20,212,0,414,18,40,87,0,9,0,0,0,0,0,0,7,0,34,0,34,0,38,10,0,0,0,0,0,0,0,102,12,0,141,1042,752,0,0,56,65,18,0,26,3,29,0,0,15,54,7,0,351,65,189,0,74,244,76,44,0,0,0,19,0,9,0,1128,104,248,61,0,0,0,128,209,696,271,40,960,0,278,0,31,0,0,0,0,0,0,0,0,74,372,416,199,1,0
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_sp.,0,0,8,0,5,0,0,0,0,41,14,100,38,0,0,0,0,0,0,0,0,15,39,52,16,233,140,35,318,519,81,40,13,7,0,0,0,0,3,0,0,0,0,0,29,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0,76,45,763,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,143,129,31,0,0,0,0,0,0,0,0,0,0,0,0,0,136,22,4,0,0,0,0,0,0,17,0,12,6,0,0,0,0,0,0,0,0,0,30,704,8658,0,0,0,0,0,5,1,1
Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-C,Dinobryon,Dinobryon_faculiferum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,364,1023,192,484,962,319,935,857,286,107,1318,1509,2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eukaryota,Stramenopiles,Ochrophyta,MOCH-5,MOCH-5_X,MOCH-5_XX,MOCH-5_XXX,MOCH-5_XXX_sp.,0,0,502,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,16,9,116,76,28,32,19,99,4,9,0,0,0,0,0,0,0,0,0,0,0,117,707,144,2,0,0,0,0,0,0,0,0,0,0,0,0,57,32,244,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4511,5,0,0,0,2,0,0,0,0,49,1541,210,40,0,0,0,0,0,0,0,0,287,692,10,87,528,0,0,0,0,1,0
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Paragymnodinium,Paragymnodinium_shiwhaense,0,0,5302,23,9,0,0,0,0,19,0,83,111,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,22,0,0,30,0,0,0,0,0,0,0,0,14,0,0,0,42,29,0,3,0,0,0,6,9,0,0,0,0,0,2,26,9,379,3143,0,0,6,0,0,0,0,0,0,0,36,14,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,74,0,0,0,0,0,0,37,10,115,444,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Pelagomonadales,Pelagomonadales_clade_B,Pelagomonadales_clade_B1,Pelagomonadales_clade_B1_sp.,0,0,260,18,0,0,0,0,0,157,168,0,0,0,0,0,0,0,0,0,0,538,312,72,26,46,61,0,0,0,0,0,233,714,3,0,0,0,0,0,0,0,0,0,0,0,0,0,182,226,30,18,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,42,2633,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,5,0,18,0,0,0,0,0,0,45,22,23,0,0,25,0,218,0,0,0,45,0,180,0,0,1329,2265,7,0,6,0,1,0
Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_gracilis,83,445,0,89,0,94,67,0,0,85,66,0,0,259,453,82,0,53,0,0,177,185,484,90,39,48,136,0,0,0,6,89,0,155,0,0,148,78,91,65,82,39,0,0,0,0,0,0,73,0,0,10,40,0,0,0,0,111,12,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,220,0,228,1103,250,296,0,47,100,34,6,0,0,366,150,125,0,0,74,101,258,106,53,95,52,328,0,352,0,250,0,228,0,3,0,0,40,0,101,359,0,0,1,0
Eukaryota,Stramenopiles,Ochrophyta,Eustigmatophyceae,Eustigmatophyceae_X,Eustigmatophyceae_XX,Trachydiscus,Trachydiscus_minutus,0,0,94,596,64,25,0,0,0,75,8,7,82,91,92,0,0,0,5,0,0,916,36,0,0,0,0,13,0,0,24,0,14,0,48,0,0,0,0,0,0,19,40,3,9,0,0,13,0,53,74,11,29,20,0,0,0,0,54,50,97,69,92,0,16,152,219,0,0,0,0,824,515,189,0,0,0,0,0,0,325,809,302,13,97,8,0,0,0,0,0,0,15,390,8,3,9,0,0,0,0,5,12,2,0,7,0,8,359,0,510,0,0,0,0,613,462,0,0,0,0,52,301,54,37,1,0
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Yihiella,Yihiella_yeosuensis,0,9,352,198,78,26,0,0,0,228,15,19,144,135,25,0,0,0,0,0,0,895,48,0,0,11,15,0,0,0,209,0,65,0,0,0,0,0,0,0,0,0,34,0,118,0,90,0,14,50,648,70,45,0,0,0,0,0,0,26,78,59,29,253,79,117,0,0,0,0,0,0,62,0,0,0,0,0,0,0,892,0,14,207,0,0,0,0,0,0,0,0,0,357,0,20,17,0,258,0,0,183,191,162,371,66,24,41,57,0,0,0,0,0,1859,0,29,12,0,0,0,0,64,0,0,1,0
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Arcocellulus,Arcocellulus_cornucervis,0,58,0,0,0,0,0,0,0,0,0,0,0,42,89,0,0,40,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,160,93,23,12,9,319,45,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,55,36,0,14,0,0,52,0,0,0,0,0,337,0,0,0,471,0,0,135,0,0,0,0,0,0,126,523,0,0,0,12,180,0,0,0,0,0,0,0,74,115,182,119,31,0,0,87,0,0,0,0,422,135,1118,225,906,0,0,0,53,0,0,0,0,74,255,525,1333,1,0
Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Dictyochales,Dictyocha,Dictyocha_globosa,0,0,0,29,1030,16,0,0,0,0,8,0,34,482,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,46,5,0,2267,2283,272,39,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,160,1089,235,0,0,0,0,0,0,159,37,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,68,1,0
Eukaryota,Archaeplastida,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloroparvula,Chloroparvula_pacifica,8,0,23,14,0,0,9,0,0,3,0,0,25,15,21,0,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,7,3,43,63,30,0,0,0,0,0,0,0,3,7,5,2,0,20,19,8,31,40,39,0,0,2,4,0,0,0,2,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,27,3,10,114,0,0,0,0,0,0,0,0,0,2,10,11,9,3,0,0,0,0,0,0,0,139,827,3,2244,0,0,0,26,0,9,365,0,0,852,140,91,983,1709,1,1
Eukaryota,Hacrobia,Haptophyta,Haptophyta_Clade_HAP5,Haptophyta_Clade_HAP5_X,Haptophyta_Clade_HAP5_XX,Haptophyta_Clade_HAP5_XXX,Haptophyta_Clade_HAP5_XXX_sp.,120,123,227,4,46,0,11,0,0,1594,133,36,29,0,0,0,0,23,8,132,217,582,0,15,4,12,6,9,0,0,0,0,0,0,0,0,0,57,456,9,109,25,0,36,0,0,11,0,6,0,0,0,0,0,343,0,22,38,39,35,34,20,21,0,0,0,0,0,36,7,0,0,919,66,25,0,0,0,0,0,0,2,0,0,0,0,92,244,1827,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,62,0,0,0,26,44,0,0,0,1,0
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,Skeletonema_pseudocostatum,0,0,984,0,0,0,0,0,0,0,2465,48,0,0,0,0,0,0,0,0,0,0,248,196,91,595,912,0,0,0,0,44,0,0,0,0,0,0,0,0,0,24,0,10,0,55,0,0,0,12,0,0,0,0,0,0,0,0,0,0,284,89,407,0,115,0,0,0,0,0,0,0,0,0,22,287,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,266,0,0,0,0,0,0,0,10,0,162,38,0,0,0,260,0,0,0,1,0
Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Helicopedinella,Helicopedinella_sp.,161,21,13,0,4,0,0,4,221,0,0,4,0,10,7,0,20,1587,899,31,40,24,0,0,0,0,4,0,0,0,0,0,0,0,15,13,150,64,132,34,37,14,0,2,0,0,0,0,0,5,0,0,0,0,440,0,157,148,9,0,0,0,0,0,4,0,0,0,113,120,49,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1059,919,537,0,48,317,10,0,10,3,0,0,0,10,380,5,8,10,13,23,4,0,0,0,0,6,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-F,Paraphysomonas,Paraphysomonas_foraminifera,0,0,0,0,0,0,0,0,3370,11,28,0,20,0,37,34,4,0,1014,140,8,33,12,0,0,0,0,0,0,0,0,44,2,8,8,19,0,0,45,0,6,0,0,0,0,0,0,0,0,0,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,223,0,0,10,0,0,0,0,0,8,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Thalassiosira,Thalassiosira_mala,0,0,11,0,0,148,0,16,0,0,28,42,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,12,0,34,0,179,59,0,9,106,25,0,0,0,0,0,0,426,190,173,0,0,0,1178,0,0,0,0,0,6,0,0,0,0,0,0,0,0,217,850,881,665,375,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,55,84,0,0,0,0,34,0,1286,362,1,0
Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_clade_B3,84,1014,0,0,0,0,7,0,212,83,0,0,0,0,0,0,6,123,108,0,410,325,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,131,14,9,0,0,0,0,0,0,0,0,0,0,0,0,442,26,0,0,0,0,0,0,0,0,0,0,0,8,0,553,782,0,21,517,674,291,0,0,0,0,0,5,9,50,90,204,0,0,0,0,0,0,0,246,315,0,63,0,0,0,0,0,0,0,0,0,210,1,1
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_parkeae,0,0,34,213,72,13,9,0,0,0,234,32,43,11,4,22,0,0,0,0,0,5,6,39,25,135,40,0,7,23,0,87,80,129,121,10,3,3,0,30,5,167,96,5,0,17,0,0,22,23,20,10,91,124,0,0,0,0,0,31,75,50,21,0,708,3,11,0,0,0,0,0,0,0,0,22,0,45,0,0,0,0,13,11,1405,35,0,0,0,0,0,0,0,866,34,0,0,0,0,73,9,28,68,57,4,85,305,21,63,0,70,0,0,0,2,0,37,269,0,335,19,57,28,116,243,1,1
Eukaryota,Stramenopiles,Ochrophyta,MOCH-2,MOCH-2_X,MOCH-2_XX,MOCH-2_XXX,MOCH-2_XXX_sp.,122,71,93,4,47,13,81,117,61,31,70,13,0,8,0,18,18,562,309,308,795,411,0,40,64,23,29,21,3,9,0,0,0,0,4,0,8,6,9,11,75,44,2,49,0,0,0,0,0,15,0,0,0,0,153,14,38,10,4,2,0,14,0,0,0,0,0,0,16,181,69,12,352,51,4,0,0,10,2,0,0,0,61,108,0,0,0,0,145,0,0,34,56,5,20,0,76,13,12,86,58,41,111,265,165,103,64,0,17,0,3,0,0,0,914,0,71,0,0,0,0,11,9,0,0,1,0
Eukaryota,Hacrobia,Haptophyta,Haptophyta_Clade_HAP3,Haptophyta_Clade_HAP3_X,Haptophyta_Clade_HAP3_XX,Haptophyta_Clade_HAP3_XXX,Haptophyta_Clade_HAP3_XXX_sp.,0,5,81,16,46,0,10,34,42,870,60,0,0,0,0,0,0,35,65,539,1539,1419,395,413,117,72,156,0,0,0,0,0,0,0,0,0,0,18,55,0,5,50,6,122,0,3,0,0,0,0,0,0,0,0,12,0,8,40,0,12,0,0,0,0,0,0,0,0,0,15,4,15,42,55,257,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,26,0,198,0,0,0,0,0,0,0,0,0,0,1,0
